animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type,class_name,can_fly,can_swim,is_domestic_pet
0,aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,Mammal,False,False,False
1,antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,Mammal,False,False,False
2,bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,Fish,False,True,False
3,bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,Mammal,False,False,False
4,boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,Mammal,False,False,False
5,buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,Mammal,False,False,False
6,calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,Mammal,False,False,True
7,carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4,Fish,False,True,False
8,catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,Fish,False,True,False
9,cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,1,Mammal,False,False,False
10,cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,Mammal,False,False,False
11,chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,Bird,True,False,False
12,chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,Fish,False,True,False
13,clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,Invertebrate,False,False,False
14,crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7,Invertebrate,False,False,False
15,crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7,Invertebrate,False,False,False
16,crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,Bird,True,False,False
17,deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,Mammal,False,False,False
18,dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,Fish,False,True,False
19,dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,Mammal,False,True,False
20,dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,Bird,True,False,False
21,duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2,Bird,True,False,False
22,elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,Mammal,False,False,False
23,flamingo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2,Bird,True,False,False
24,flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6,Bug,False,False,False
25,frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5,Amphibian,False,False,False
27,frog,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,5,Amphibian,False,False,False
29,fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1,Mammal,False,False,False
30,giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,Mammal,False,False,False
31,girl,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1,Mammal,False,False,True
32,gnat,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,Bug,False,False,False
33,goat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,Mammal,False,False,True
34,gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1,Mammal,False,False,False
35,gull,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,Bird,True,False,False
36,haddock,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,Fish,False,True,False
37,hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1,Mammal,False,False,False
38,hare,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1,Mammal,False,False,False
39,hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,Bird,True,False,False
40,herring,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,Fish,False,True,False
41,honeybee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,6,Bug,False,False,False
42,housefly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,Bug,False,False,False
43,kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2,Bird,False,False,False
44,ladybird,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6,Bug,False,False,False
45,lark,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,Bird,True,False,False
46,leopard,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,Mammal,False,False,False
47,lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,Mammal,False,False,False
48,lobster,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7,Invertebrate,False,False,False
49,lynx,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,Mammal,False,False,False
50,mink,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1,Mammal,False,False,False
51,mole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1,Mammal,False,False,False
52,mongoose,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,Mammal,False,False,False
53,moth,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,Bug,False,False,False
54,newt,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5,Amphibian,False,False,False
55,octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7,Invertebrate,False,False,False
56,opossum,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1,Mammal,False,False,False
57,oryx,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,Mammal,False,False,False
58,ostrich,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2,Bird,False,False,False
59,parakeet,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,Bird,True,False,False
60,penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2,Bird,False,False,False
61,pheasant,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,Bird,True,False,False
62,pike,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,Fish,False,True,False
63,piranha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,Fish,False,True,False
64,pitviper,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3,Reptile,False,False,False
65,platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1,Mammal,False,False,False
66,polecat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,Mammal,False,False,False
67,pony,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,Mammal,False,False,True
68,porpoise,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,Mammal,False,True,False
69,puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,Mammal,False,False,False
70,pussycat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1,Mammal,False,False,True
71,raccoon,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,Mammal,False,False,False
72,reindeer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,Mammal,False,False,True
73,rhea,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,2,Bird,False,False,False
74,scorpion,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,7,Invertebrate,False,False,False
75,seahorse,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,Fish,False,True,False
76,seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,Mammal,False,True,False
77,sealion,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,1,Mammal,False,True,False
78,seasnake,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,3,Reptile,False,False,False
79,seawasp,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,7,Invertebrate,False,False,False
80,skimmer,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,Bird,True,False,False
81,skua,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,Bird,True,False,False
82,slowworm,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3,Reptile,False,False,False
83,slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,Invertebrate,False,False,False
84,sole,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,Fish,False,True,False
85,sparrow,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,Bird,True,False,False
86,squirrel,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1,Mammal,False,False,False
87,starfish,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,7,Invertebrate,False,False,False
88,stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,4,Fish,False,True,False
89,swan,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2,Bird,True,False,False
90,termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6,Bug,False,False,False
91,toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5,Amphibian,False,False,False
92,tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3,Reptile,False,False,False
93,tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3,Reptile,False,False,False
94,tuna,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,Fish,False,True,False
95,vampire,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1,Mammal,False,False,False
96,vole,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1,Mammal,False,False,False
97,vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2,Bird,True,False,False
98,wallaby,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1,Mammal,False,False,False
99,wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6,Bug,False,False,False
100,wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,Mammal,False,False,False
101,worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,Invertebrate,False,False,False
102,wren,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,Bird,True,False,False
104,kangaroo,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1,Mammal,False,False,False
106,cobra,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3,Reptile,False,False,False
107,jellyfish,0,0,1,0,0,1,1,0,0,0,1,0,4,0,0,0,7,Invertebrate,False,False,False
109,shark,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,Fish,False,True,False
110,tiger,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,Mammal,False,False,False
111,zebra,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,Mammal,False,False,False
112,falcon,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,Bird,True,False,False
113,owl,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,Bird,True,False,False
114,butterfly,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,Bug,False,False,False
115,dragonfly,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6,Bug,False,False,False
116,whale,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,Mammal,False,True,False
117,rhino,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,Mammal,False,False,False
118,hippo,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1,Mammal,False,False,False
119,alligator,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,1,3,Reptile,False,False,False
120,crocodile,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,1,3,Reptile,False,False,False
121,turtle,0,0,1,0,0,1,0,0,1,1,0,0,4,1,0,0,3,Reptile,False,False,False
122,lizard,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3,Reptile,False,False,False
123,snake,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3,Reptile,False,False,False
